index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
189,(과정평가형자격)직업상담사2급취득과정,현대직업전문학교,89,3603430,20,49.1,39.0,07_사회복지 종교,직업상담
190,직업상담사2급 자격 취득과정,송파여성인력개발센터,36,925480,23,40.2,44.0,07_사회복지 종교,직업상담
191,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,36.0,07_사회복지 종교,직업상담
192,"직업상담사 2급 자격증 취득과정(1차,2차 통합)",휴먼평생직업교육학원,45,1156860,18,43.5,39.0,07_사회복지 종교,직업상담
193,[과정평가형] 2020년 직업상담사2급 자격증취득과정,인지어스평생교육원,69,2793670,20,52.1,37.0,07_사회복지 종교,직업상담
194,[전직지원] 생애설계 심화과정,인지어스평생교육원,14,257080,20,52.1,53.0,07_사회복지 종교,전직지원
195,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,,07_사회복지 종교,베이비시터
196,직업상담사 실무과정,(주)조근혜 부설 대전직업상담사학원,16,385620,15,48.8,42.0,07_사회복지 종교,직업상담
197,산모신생아 건강관리사 양성,엘림평생교육원,15,373260,12,56.8,,07_사회복지 종교,건강관리
198,직업상담사2급 자격증 취득과정,미토직업전문학교,30,771240,20,35.5,41.0,07_사회복지 종교,직업상담
199,직업상담사2급 취득(필기+실기),성남여성인력개발센터,34,899780,20,30.0,41.0,07_사회복지 종교,직업상담
200,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,54.0,07_사회복지 종교,베이비시터
201,직업상담사2급 자격(1차 필기),부산예일직업전문학교,21,655550,20,34.1,37.0,07_사회복지 종교,직업상담
202,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,26.0,07_사회복지 종교,사회복지
