,과정명,학원명,기간,훈련비,정원,취업률,연령대
1491,"GTQ취득과정(포토샵,일러스트)",세종IT직업전문학교,25,561900,20,66.7,30
1492,제품디자인 실무자 양성,(재)호남직업전문학교,126,4186150,24,94.7,30
1493,제품디자인 및 3D프린터용 제품제작,(재)한국직업능력교육원(구.열린직업전문학교),87,3820920,25,68.7,29
1494,[과정평가형 자격]시각디자인 산업기사 취득과정-B,(재)한국직업능력교육원(구.열린직업전문학교),89,4228000,23,68.7,26
1495,(디지털디자인) 스마트 UI/UX 반응형 웹디자인,연희직업전문학교,100,4270440,20,72.5,24
1496,"영상편집&모션그래픽제작(프리미어,에펙)",더조은컴퓨터아트학원,48,1067610,20,,31
1497,"(멀티미디어콘텐츠제작) 영상 (프리미어,에프터이펙트) 크리에이터 과정 5 G",강남 그린컴퓨터아카데미,142,5296350,30,41.4,27
1498,"GTQ그래픽전문가(포토샵, 일러스트)자격취득 과정",이젠아카데미,20,561900,20,48,28
1499,(시각디자인) [비전공/초보자] 옥외광고/출판편집 디자이너 양성과정,그린컴퓨터아카데미 부천,136,3820920,20,70.5,25
1500,"인물,제품,쇼핑몰사진전문가및 사진기능사취득과정",서울사진미디어컴퓨터학원,75,2017050,18,43.4,33
1501,디지털디자인(웹퍼블리셔/웹디자인)양성,그린컴퓨터아카데미,88,3933300,20,78.8,22
1502,"[2020과정평가형]실내건축산업기사(인테리어, 캐드, 맥스, 스케치업)B",이젠아카데미컴퓨터학원,88,4228000,20,,27
1503,"광고콘텐츠영상제작(프리미어,애펙)+유튜브크리에이터",레브아트컴퓨터학원,60,1869300,20,36.4,30
1504,(과정평가형) 컴퓨터그래픽스운용기능사,목포국제직업전문학교,80,6107040,20,,23
1505,"[웹디자인] 포토샵, 일러스트 (GTQ1급 자격증 취득)",샘물IT캠퍼스,20,561900,20,,30
1506,[핵심쏙쏙]GTQ 1급 자격증(포토샵+일러스트),신청산컴퓨터학원,20,373860,10,45.2,26
1507,"GTQ자격취득(일러스트,포토샵)과정",명문직업전문학교,46,775420,10,,27
1508,"(2020 과정평가형)실내건축산업기사 (인테리어 디자인, BIM) [B]",서울현대직업전문학교 디지털구로캠퍼스,98,4711200,24,80.6,30
1509,"영상편집(2D그래픽,프리미어,에프터이펙트) 전문가 과정",그린컴퓨터아카데미 대전,32,1067610,20,,30
1510,시각디자인GTQ자격취득(일러스트&포토샵),더조은컴퓨터아트학원,40,899040,20,45.3,26
1511,"시각(영상)편집디자인(프리미어, 애프터이펙트) 입문과정",강남 그린컴퓨터아카데미,49,1067610,20,40.6,27
1512,디지털디자인(웹디자인&웹퍼블리싱)A,방송정보국제교육원,88,3877110,25,,25
1513,[과정평가형]웹디자인기능사양성B,(주)대신기술능력개발원,100,3539400,20,58.8,32
1514,[과정평가형]시각디자인산업기사,영진직업전문학교,142,5134000,20,83.6,27
1515,"그래픽실무자 양성(포토샵/일러스트/인디자인,포트폴리오)",주식회사인천직업능력개발원,45,1011420,20,,27
1516,모션그래픽 영상제작 실무자 양성과정,굿잡아카데미컴퓨터아트학원,60,1869300,20,80,26
1517,유튜브 크리에이팅 영상편집(유투브동영상),서울IT직업전문학교,12,373860,20,27.3,42
1518,"만화콘텐츠(홍보웹툰,캐릭터) 제작 실무자 양성과정",서울IT직업전문학교,78,2430090,20,27.3,34
1519,광고콘텐츠(2D 모션그래픽)전문가 양성과정,더모션아카데미학원,60,1869300,20,,26
1520,게임 프로그램 개발자 양성과정,서울게임학원,225,4205920,30,,25
1521,"디지털디자인(그래픽,웹디자인) 취업 양성과정",아성직업전문학교,86,3371400,20,81,28
1522,영상제작,서울방송아카데미,90,3364740,20,62.5,32
1523,[디지털디자인]스마트기기UXUI앱&웹디자인,더조은컴퓨터학원,95,4270440,20,66.2,26
1524,방송영상편집&모션,방송정보국제교육원,122,5495040,28,79.9,25
1525,게임 기획자 양성,SBS아카데미게임학원 대구,56,1401970,10,,24
1526,"멀티미디어콘텐츠제작(앱콘텐츠, 영상콘텐츠)",방송정보국제교육원,102,4953640,25,70.9,26
1527,웹디자인 양성과정,에스비에스(SBS)아카데미컴퓨터아트학원,51,1629510,10,50,24
1528,그래픽디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,27
1529,ATC캐드마스터 1급 자격증 취득과정,남승화직업전문학교,20,449520,15,50,39
1530,3D프린터활용 캐릭터목업제작 양성,비에이치쓰리디(BH3D)조형학원,60,2600000,20,48.3,28
1531,그래픽디자인(포토샵+일러스트+인디자인+포트폴리오+그래픽스운용자격증),배움회계캐드컴퓨터학원,55,1123800,10,43.6,23
1532,"영상편집디자인 & 유튜브동영상(프리미어,에펙)",이젠컴퓨터2관학원,56,1573320,20,,28
1533,CAD 캐드실무능력평가(CAT) 2급 자격증,남승화직업전문학교,25,561900,15,50,24
1534,"영상편집디자인 콘텐츠제작(프리미어,에프터이펙트)양성",인천구월그린컴퓨터아트학원,28,1123800,20,43.2,25
1535,"스마트기기 UXUI 디자인 (디지털 앱, 웹디자인) 양성과정",아이씨에이일산컴퓨터아트학원,116,4270440,30,,30
1536,"유튜브(YouTube)디지털 영상편집(모션그래픽,프리미어,에펙)양성과정",그린컴퓨터아카데미 부산,58,1629510,20,54.5,27
1537,[플립드러닝] 멀티미디어콘텐츠제작(영상편집&웹제작)구직자과정,그린컴퓨터아카데미 수원,96,5296350,30,,26
1538,컴퓨터그래픽스운용기능사 취득 (실기),남승화직업전문학교,25,561900,15,50,32
1539,"(일반고특화)멀티미디어콘텐츠(스마트앱,웹영상)제작양성(웹디자인기능사)",고려IT직업전문학교,87,4034440,25,75,17
