,과정명,학원명,기간,훈련비,정원,취업률,연령대
856,카페메뉴와 라떼아트 및 브루잉 마스터,궁전바리스타학원,36,1085130,18,37.7,28
857,한식조리기능사 자격취득과정(이론+실기),수영음식나라조리학원,27,820260,18,,42
858,(과정평가형)한식조리사 양성과정,재단법인 이찬 경북직업전문학교,86,4106610,20,40.1,42
859,커피 바리스타 2급 자격 및 커피음료 제조 과정,김해영지요리직업전문학교,28,646460,10,,37
860,일식조리기능사과정(필기+실기),한솔요리아카데미 강동,19,612030,10,48.1,34
861,카페취업창업 준비과정(커피음료제조+카페디저트+창업준비),창원식음료직업학교,17,769600,12,,35
862,양식 및 중식조리기능사 자격 취득과정(이론+실기),이성실요리커피제빵학원,43,1291150,12,52.4,39
863,양식조리기능사취득과정(이론+실기),쿡스요리학원,27,820260,15,,41
864,"조리기능사자격취득(한식,양식,중식)2",궁전요리제빵미용직업전문학교,50,1503810,13,66.1,34
865,바리스타입문(바리스타2급+홈카페마스터+커피음료제조)양성과정,성북커피학원,24,738810,18,44.2,31
866,한식조리기능사 양식조리기능사 자격취득과정(이론+실기),해운대음식나라조리학원,47,1427860,10,,38
867,바리스타2급자격증&카페실무,수원외식관광직업전문학교,42,969690,12,73,38
868,한식조리기능사 자격취득(이론+실기),음식나라조리학원,30,683550,15,,43
869,라떼아트 전문가 양성,FnC아카데미교육원,13,384800,12,40,51
870,한식조리기능사 자격증 취득과정,동양요리직업전문학교,31,941780,12,88.9,43
871,브런치 실무자 양성,"한쿡외식문화학원(요리,제과제빵,바리스타,조리)",25,569620,20,59.1,45
872,"중식,일식조리기능사 취득과정",와이제이(YJ)요리나라조리학원,35,1055700,11,,48
873,한식조리기능사취득과정(이론+실기),광주제일직업전문학원,30,759500,12,,44
