,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
6614,미용사(네일)기능사취득,씨티우먼뷰티아카데미학원,73,1888650,10,53.3,33.0,경남,진주시,12_미용숙박여행오락스포츠,네일아트
6615,헤어커트실무(여성&남성커트),글로벌뷰티아카데미학원,30,776160,10,43.5,40.0,대전,서구,12_미용숙박여행오락스포츠,헤어디자이너
6616,피부미용자격증취득,천안중앙직업전문학교,83,1610530,12,53.5,25.0,충남,천안시,12_미용숙박여행오락스포츠,피부관리사
6617,네일미용사 자격증 취득 및 아트과정,우석미용학원,73,1888650,10,49.3,30.0,서울,서대문구,12_미용숙박여행오락스포츠,네일아트
6618,미용사(네일) 자격증 취득과정,미래미용학원,75,1940400,14,26.6,35.0,광주,광산구,12_미용숙박여행오락스포츠,네일아트
6619,헤어미용컷트&염색양성,씨티우먼뷰티아카데미학원,35,899050,5,53.3,45.0,경남,진주시,12_미용숙박여행오락스포츠,헤어디자이너
6620,미용사(피부)기능사취득,씨티우먼뷰티아카데미학원,64,1642870,10,53.3,29.0,경남,진주시,12_미용숙박여행오락스포츠,피부관리사
6621,네일미용 국가자격증 취득과정,인비네일미용학원,70,1811040,10,59.1,30.0,경기,고양시,12_미용숙박여행오락스포츠,네일아트
6622,헤어 미용사(일반)자격증 취득과정,태양미용직업전문학교,80,2069760,15,75.9,28.0,서울,성동구,12_미용숙박여행오락스포츠,헤어디자이너
6623,헤어미용 자격증 취득과정,국제미용예술직업전문학교,50,2263800,20,74.6,32.0,서울,송파구,12_미용숙박여행오락스포츠,헤어디자이너
6624,왁싱(제모)과정,주식회사에르모소뷰티직업전문학교,12,310460,10,57.8,30.0,서울,마포구,12_미용숙박여행오락스포츠,왁싱전문가
6625,헤어미용사(일반)자격증 취득 과정,인천실용전문학교,54,2069760,20,58.8,27.0,인천,부평구,12_미용숙박여행오락스포츠,헤어디자이너
6626,헤어미용사(일반)자격증 취득과정,GMB직업전문학교,77,1992140,20,61.2,41.0,서울,관악구,12_미용숙박여행오락스포츠,헤어디자이너
6627,헤어미용 실무(커트&펌&염색),태양미용직업전문학교,45,1164240,12,75.9,42.0,서울,성동구,12_미용숙박여행오락스포츠,헤어디자이너
6628,"초급헤어실무(컷트,펌,컬러링)",미래직업전문학교,60,1264240,12,52.9,40.0,강원,원주시,12_미용숙박여행오락스포츠,헤어디자이너
6629,미용사(일반)자격취득과정(필기+실기),동천안 직업전문학교,43,1940400,20,38.5,23.0,충남,천안시,12_미용숙박여행오락스포츠,헤어디자이너
6630,네일실무&드릴,주식회사에르모소뷰티직업전문학교,42,1086620,10,57.8,40.0,서울,마포구,12_미용숙박여행오락스포츠,네일아트
6631,미용사(메이크업) 자격증 취득 과정,자아연토탈미용학원,54,1397080,10,58.8,34.0,경남,김해시,12_미용숙박여행오락스포츠,헤어디자이너
6632,"헤어실무(커트,드라이)",나레스트천안미용학원,15,488080,16,57.8,40.0,충남,천안시,12_미용숙박여행오락스포츠,헤어디자이너
6633,헤어미용 실무연구반(커트.드라이),궁전요리제빵미용직업전문학교,20,504500,14,56.9,36.0,전북,전주시,12_미용숙박여행오락스포츠,헤어디자이너
6634,미용사(네일)자격증 취득 과정,자아연토탈미용학원,64,1642870,12,58.8,29.0,경남,김해시,12_미용숙박여행오락스포츠,네일아트
6635,헤어커트기초실무과정,BBS미용예술직업전문학교,39,1086620,10,77.8,34.0,경남,양산시,12_미용숙박여행오락스포츠,헤어디자이너
6636,미용사(피부)자격취득반,국제미용직업전문학교,70,1811040,12,77.7,26.0,전북,군산시,12_미용숙박여행오락스포츠,피부관리사
6637,헤어미용 국가자격증 취득과정,금성직업전문학교,92,2069760,14,54.1,20.0,광주,동구,12_미용숙박여행오락스포츠,헤어디자이너
6638,헤어실무단기과정(커트+펌),(재)BBS미용예술실용전문학교,30,776160,20,66.9,35.0,경기,부천시,12_미용숙박여행오락스포츠,헤어디자이너
6639,미용사(네일아트) 자격증취득 과정(실기),피디에이홍명뷰티아카데미학원,37,1455300,10,47.9,24.0,대전,중구,12_미용숙박여행오락스포츠,네일아트
6640,미용사(헤어) 기초실무과정,금성직업전문학교,29,996800,16,54.1,47.0,광주,동구,12_미용숙박여행오락스포츠,헤어디자이너
6641,헤어커트 현장실무과정,주식회사에르모소뷰티직업전문학교,42,1086620,10,57.8,38.0,서울,마포구,12_미용숙박여행오락스포츠,헤어디자이너
6642,네일미용실무과정,글로벌뷰티아카데미학원,38,970200,12,43.5,29.0,대전,서구,12_미용숙박여행오락스포츠,네일아트
6643,(이론+실기)미용사(일반)자격취득과정B,JES미용예술직업전문학교,40,2069760,20,67.2,24.0,서울,영등포구,12_미용숙박여행오락스포츠,헤어디자이너
6644,미용사(메이크업)자격증 취득과정,GMB직업전문학교,62,1604060,20,61.2,29.0,서울,관악구,12_미용숙박여행오락스포츠,헤어디자이너
6645,피부미용 입문과정,미래미용학원,75,1940400,12,26.6,31.0,광주,광산구,12_미용숙박여행오락스포츠,피부관리사
