,Unnamed: 0,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
1461,2204,(디지털디자인)스마트기기UIUX앱&웹디자인,더조은컴퓨터학원,85,4187900,20,66.2,,08_문화 예술 디자인 방송,디자인
1462,2205,"3D 환경인테리어 디자인(캐드,3DMAX,실내건축,스케치업)(D)",이젠아카데미평생교육원,95,3371400,20,83.9,36.0,08_문화 예술 디자인 방송,디자인
1463,2209,"시각디자인-그래픽디자이너(포토샵, 일러스트레이터) 양성과정",그린컴퓨터아트학원,41,921510,20,47.4,,08_문화 예술 디자인 방송,디자인
1464,2210,영상제작,방송정보국제교육원,98,4407480,30,79.9,,08_문화 예술 디자인 방송,영상
1465,2211,3D프린터활용 제품설계제작 (제품디자인산업기사 과정평가형) B,더조은컴퓨터아카데미,90,4348800,25,61.2,,08_문화 예술 디자인 방송,디자인
1466,2212,"시각광고디자인(일러스트,포토샵,광고편집디자인실무) 취업과정",아성직업전문학교,80,3146640,20,81.0,34.0,08_문화 예술 디자인 방송,디자인
1467,2214,반응형 UI/UX 웹디자인(웹퍼블리셔),그린컴퓨터아카데미,95,4270440,20,78.8,,08_문화 예술 디자인 방송,디자인
1468,2215,"웹디자인(웹퍼블리셔)양성 (HTML5,CSS3,Javascript,jQuery)",더조은퍼스트컴퓨터바리스타학원,26,730470,20,35.2,,08_문화 예술 디자인 방송,디자인
1469,2217,"3D프린터 활용 제품디자인 설계제작(캐드,맥스,라이노)B",더조은컴퓨터아카데미,88,3933300,20,61.2,,08_문화 예술 디자인 방송,디자인
1470,2218,"3D프린터 활용 제품디자인 설계 제작(캐드,맥스,라이노) A",더조은컴퓨터아카데미,96,4045680,20,72.2,28.0,08_문화 예술 디자인 방송,디자인
1471,2219,"(멀티미디어콘텐츠제작) 영상 (프리미어,에프터이펙트) 크리에이터 과정 2",강남 그린컴퓨터아카데미,107,5296350,20,41.4,,08_문화 예술 디자인 방송,영상
1472,2220,(디지털디자인) 영상 활용 UI/UX 웹디자인&웹퍼블리셔,하이미디어아카데미,106,4270440,30,95.2,32.0,08_문화 예술 디자인 방송,디자인
1473,2221,웹디자인기능사취득과정(B),이젠컴퓨터아트서비스학원,102,3008490,20,65.2,26.0,08_문화 예술 디자인 방송,디자인
1474,2223,게임 3D 프로그래머 양성과정,서울게임학원,120,2243160,20,58.9,,08_문화 예술 디자인 방송,게임
1475,2224,"[플립드러닝] 디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정",그린컴퓨터아트학원 안양,88,4439010,20,63.4,,08_문화 예술 디자인 방송,디자인
1476,2225,"유튜브 영상편집실무양성 애프터이펙트(After Effect),프리미어(Premiere)",그린컴퓨터아카데미 신촌,60,1869300,20,50.2,30.0,08_문화 예술 디자인 방송,영상
1477,2226,"디지털 영상편집 (프리미어, 애프터이팩트) 취업전문과정",그린컴퓨터아트학원,58,1629510,20,61.5,,08_문화 예술 디자인 방송,영상
1478,2227,"영상편집디자인 & 유튜브동영상(프리미어,에펙)",이젠컴퓨터아트학원,56,1573320,20,48.1,,08_문화 예술 디자인 방송,디자인
1479,2229,그래픽디자인(포토샵+일러스트+인디자인+포트폴리오+그래픽스운용자격증),배움회계캐드컴퓨터학원,55,1123800,10,43.6,,08_문화 예술 디자인 방송,디자인
1480,2230,(과정평가형)실내건축산업기사(B),재단법인 이찬 경북직업전문학교,112,4058880,24,67.9,,08_문화 예술 디자인 방송,실내건축
1481,2231,"[시각디자인] 시각(옥외광고) 일러스트,포토샵,편집디자인)",이젠컴퓨터아트학원,75,3371400,20,73.8,,08_문화 예술 디자인 방송,디자인
1482,2235,(과정평가형)시각디자인산업기사(B),재단법인 이찬 경북직업전문학교,113,4064920,24,67.9,,08_문화 예술 디자인 방송,디자인
