,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS,과정,지역1,지역2
3089,요양보호사 자격취득과정 NCS-20,경인요양보호사교육원,30,640080,40,56.2,,06_보건의료,요양보호사,,
3090,요양보호사 자격증 취득과정,풍성한요양보호사교육원,30,510000,33,47.6,,06_보건의료,요양보호사,,
3091,요양보호사자격취득과정,햇빛요양보호사교육원,30,550080,36,66.3,,06_보건의료,요양보호사,,
3092,요양보호사 자격 취득과정,아중안골평화요양보호사교육원,40,641520,28,64.3,,06_보건의료,요양보호사,,
3093,요양보호사 자격취득과정,새늘요양보호사교육원,30,600000,40,52.8,53.0,06_보건의료,요양보호사,,
3094,요양보호사 자격 취득과정,대천간호학원부설요양보호사교육원,33,650000,40,58.9,,06_보건의료,요양보호사,,
3095,간호조무사자격취득과정(주간C),덕천간호학원,192,2705600,30,74.7,,06_보건의료,간호조무사,,
3096,간호조무사 자격증 취득,신갈간호학원,352,3040000,30,78.9,,06_보건의료,간호조무사,,
3097,요양보호사 자격 취득과정,종로요양보호사교육원,58,720000,37,67.6,,06_보건의료,요양보호사,,
3098,요양보호사자격증취득과정,익산성모요양보호사교육원,30,650000,35,66.0,,06_보건의료,요양보호사,,
3099,요양보호사양성과정(신규반),솔빛간호학원요양보호사교육원,30,649920,30,83.6,,06_보건의료,요양보호사,,
3100,요양보호사 취득과정,연수요양보호사교육원,30,600000,30,50.0,55.0,06_보건의료,요양보호사,,
3101,요양보호사자격증취득,상록요양보호사교육원,30,594000,35,47.3,53.0,06_보건의료,요양보호사,,
3102,요양보호사 자격증 취득과정,한빛요양보호사교육원,30,499920,30,47.3,,06_보건의료,요양보호사,,
3103,간호조무사 자격증 취득과정,메타간호학원,191,3268000,50,80.0,,06_보건의료,간호조무사,,
3104,요양보호사 자격 취득과정,군산성모간호전문학원부설 요양보호사교육원,30,722400,40,59.3,,06_보건의료,요양보호사,,
3105,간호조무사국가자격증취득과정,계양간호조무사학원,199,2998960,30,76.9,27.0,06_보건의료,간호조무사,,
3106,요양보호사자격증취득과정,굿모닝요양보호사교육원,30,641520,40,59.0,61.0,06_보건의료,요양보호사,,
3107,요양보호사 자격 취득과정(NCS),메디컬간호학원 부설 요양보호사교육원,38,650000,30,41.4,,06_보건의료,요양보호사,,
3108,요양보호사자격취득과정,중부요양보호사교육원,31,690000,40,51.9,,06_보건의료,요양보호사,,
3109,요양보호사 자격 취득과정(사회복지사 자격증 소지자반),천안경희간호학원부설 요양보호사교육원,10,250000,15,72.0,52.0,06_보건의료,요양보호사,,
3110,요양보호사 자격 취득 과정,행복요양보호사교육원,30,570000,26,51.4,,06_보건의료,요양보호사,,
3111,요양보호사 자격취득과정,대한요양보호사교육원,30,550080,40,46.2,43.0,06_보건의료,요양보호사,,
3112,요양보호사자격취득과정,한국실버요양보호사교육원,46,528000,37,50.5,,06_보건의료,요양보호사,,
3113,요양보호사양성과정 (자격증취득과정),가족사랑요양보호사교육원,30,600000,30,46.9,,06_보건의료,요양보호사,,
3114,차이나는 클래스- 간호조무사 자격반,울산간호학원,207,3299920,20,83.1,,06_보건의료,간호조무사,,
3115,요양보호사 자격 취득과정,서수원간호학원부설서수원요양보호사교육원,30,500000,35,54.4,,06_보건의료,요양보호사,,
3116,요양보호사 자격 취득 과정,성모요양보호사교육원,30,570000,38,57.3,,06_보건의료,요양보호사,,
